condition,model,task_id,n_trials,parse_rate,tier1_rate,tier2_rate,any_valid_rate,exec_success_rate
bare_schema,claude-haiku-4-5-20251001,deconvolution,10,1.0,1.0,0.0,1.0,1.0
bare_schema,claude-haiku-4-5-20251001,spatial_domains,10,1.0,1.0,0.0,1.0,1.0
bare_schema,claude-haiku-4-5-20251001,svg_detection,10,1.0,1.0,0.0,1.0,1.0
bare_schema,gemini-2.5-flash,deconvolution,10,1.0,1.0,0.0,1.0,1.0
bare_schema,gemini-2.5-flash,spatial_domains,10,0.7,0.7,0.0,0.7,0.7
bare_schema,gemini-2.5-flash,svg_detection,10,1.0,1.0,0.0,1.0,1.0
bare_schema,gpt-5.4,deconvolution,10,1.0,1.0,0.0,1.0,0.4
bare_schema,gpt-5.4,spatial_domains,10,1.0,1.0,0.0,1.0,1.0
bare_schema,gpt-5.4,svg_detection,10,1.0,1.0,0.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,deconvolution,10,1.0,1.0,0.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,spatial_domains,10,1.0,1.0,0.0,1.0,1.0
full_schema,claude-haiku-4-5-20251001,svg_detection,10,1.0,1.0,0.0,1.0,1.0
full_schema,gemini-2.5-flash,deconvolution,10,1.0,1.0,0.0,1.0,1.0
full_schema,gemini-2.5-flash,spatial_domains,10,0.8,0.8,0.0,0.8,0.8
full_schema,gemini-2.5-flash,svg_detection,10,1.0,1.0,0.0,1.0,1.0
full_schema,gpt-5.4,deconvolution,10,1.0,1.0,0.0,1.0,1.0
full_schema,gpt-5.4,spatial_domains,10,1.0,1.0,0.0,1.0,1.0
full_schema,gpt-5.4,svg_detection,10,1.0,1.0,0.0,1.0,1.0
no_schema,claude-haiku-4-5-20251001,deconvolution,10,1.0,1.0,0.0,1.0,1.0
no_schema,claude-haiku-4-5-20251001,spatial_domains,10,1.0,0.7,0.0,0.7,0.7
no_schema,claude-haiku-4-5-20251001,svg_detection,10,1.0,0.6,0.0,0.6,0.6
no_schema,gemini-2.5-flash,deconvolution,10,1.0,1.0,0.0,1.0,1.0
no_schema,gemini-2.5-flash,spatial_domains,10,1.0,0.2,0.0,0.2,0.2
no_schema,gemini-2.5-flash,svg_detection,10,1.0,1.0,0.0,1.0,1.0
no_schema,gpt-5.4,deconvolution,10,1.0,1.0,0.0,1.0,1.0
no_schema,gpt-5.4,spatial_domains,10,1.0,0.1,0.0,0.1,0.1
no_schema,gpt-5.4,svg_detection,10,1.0,1.0,0.0,1.0,1.0
